,Node,Score
0,30,0.00017349553934328362
1,1412,0.0008141761230496596
2,3352,0.0017851250122027215
3,5254,0.0021500675059293235
4,5543,0.0010508052619841281
5,7478,0.0008124303526134783
6,3,0.00020539498232448027
7,28,0.0016986730322136937
8,39,0.0003439790689580258
9,54,0.0003476546497189804
10,108,0.00043983711534545167
11,152,0.0005817197428805893
12,178,0.0002975848833195019
13,182,0.00016083873728146711
14,214,0.001659919966936546
15,271,0.001334924091441659
16,286,0.00017367757770305088
17,300,0.00015065607046072738
18,348,0.00017393564565284633
19,349,9.460415271381965e-05
20,371,0.00028929033923574956
21,567,0.0003315269129516528
22,581,0.00010905154270480285
23,584,0.00022615441013923315
24,586,0.0001051882501948107
25,590,0.0001945807586420494
26,604,0.00018151640169193395
27,611,0.00021640905598463537
28,8283,0.00032879238326170694
29,25,5.0487823458630175e-05
30,6,0.0003118325097843746
31,8,0.00032663557615950447
32,19,0.00013112179292607272
33,23,0.00017122390637420355
34,29,0.0001849098641574442
35,33,0.0003386160040196027
36,35,0.0007007673625519551
37,50,0.00040784053278751834
38,55,0.0009495051440874039
39,75,0.000479382955791831
40,80,0.00028310182856514435
41,86,0.0008513640893173855
42,94,0.0002738669766492547
43,127,9.816867983077856e-05
44,154,0.00011657540422981115
45,192,0.00023696930657024582
46,224,0.00010737291762504587
47,226,0.00018632856798393789
48,246,0.00013974646962163477
49,252,0.00017693558073973996
50,255,0.00016496664840568213
51,257,0.0001766086459092997
52,261,0.00014828212153625848
53,273,0.00011576263040134172
54,280,0.00021388151591968753
55,282,0.0010828961137115452
56,299,0.001111572236198922
57,302,0.0001744848487526808
58,306,9.712342096658831e-05
59,308,0.00018140383955900965
60,310,0.00028797910217706477
61,322,0.0003099942822336477
62,325,0.00020042296035987259
63,339,0.00013270127106662595
64,356,0.00035770673812582685
65,358,0.00010765458423263139
66,363,0.0002897276440484435
67,370,0.00044807025055352667
68,373,0.0001760431856926792
69,377,0.00017137439056381863
70,379,0.00010226684535647772
71,407,0.0009321590642571341
72,415,0.0003924598829695654
73,422,0.00014939508244790064
74,428,0.0001573639695912196
75,439,0.000430292854569774
76,488,0.00010721356495180243
77,514,0.0002738836856963982
78,545,0.00044268309340102
79,549,0.0005821674764842345
80,560,0.0004148131098210319
81,592,0.000122367486614217
82,600,0.0007331339106458746
83,645,6.997563942485007e-05
84,650,6.766389861048442e-05
85,659,0.00020396625735167145
86,664,0.00014705861862734077
87,667,0.00042673136969066585
88,673,0.00023324579985905075
89,675,0.00011918372261819616
90,696,0.0002827552343057352
91,706,9.743865687052645e-05
92,723,0.0001554563113522391
93,739,0.0004863886423818306
94,756,0.0005995918722902293
95,857,0.0004792812490116652
96,864,9.448462172656751e-05
97,893,0.0003531787194821061
98,959,0.000515772956788981
99,994,0.00013485359193883613
100,1131,0.00018425366268540162
101,3755,0.001064328972994103
102,8282,7.553145210275568e-05
103,8284,0.00016424524204940806
104,4,5.0487823458630175e-05
105,10,0.00042139966155987983
106,38,0.00016519399800671083
107,56,0.0009160416692283024
108,130,9.571900499208365e-05
109,140,0.0001778254550272977
110,147,0.0001419204937881077
111,151,0.000302971746447203
112,232,0.0001967262550177801
113,243,0.0005818585824085619
114,341,8.781814134416319e-05
115,606,0.00013381930365561143
116,5,5.0487823458630175e-05
117,61,0.00021508864714878
118,89,0.00011315943821484227
119,93,0.00012296226524326226
120,153,0.0002752048261847788
121,163,9.553360472363265e-05
122,167,8.519606296775291e-05
123,168,0.0001182432810933008
124,175,0.0002039789873000868
125,34,0.00026068865384768495
126,132,0.0001773817785102371
127,135,0.0003100255385523507
128,171,0.0003134040764499073
129,183,0.00012070690254376316
130,216,0.00012969890399518118
131,219,0.00014360419800730194
132,227,0.0003320438897141335
133,228,0.000183169306062015
134,236,0.00013810446219604452
135,250,0.0003704756229963374
136,258,0.0001021856163532881
137,259,0.0004940474346471422
138,274,0.00012403948740393286
139,285,0.0003704876932980773
140,290,0.0006582816231966975
141,298,0.00026005651063526654
142,301,8.7063060729488e-05
143,304,0.00023834640992262968
144,317,0.0001622208349975827
145,319,0.00011043579575128852
146,359,7.211277906089699e-05
147,362,0.0002286768506490315
148,378,8.154289895912815e-05
149,390,7.654500355274065e-05
150,391,0.0001775340354606607
151,392,6.890773173491178e-05
152,394,0.0001982778022834985
153,396,0.0001152064277137535
154,402,0.0004945466011707245
155,405,0.0002009935076687256
156,406,0.0001168294309571967
157,421,6.411804641293472e-05
158,427,0.00010539499389883796
159,431,0.00016127717870621688
160,432,0.00027756394516523035
161,433,0.00014076088206169222
162,435,0.0001778316728998161
163,440,0.0001471261995444232
164,447,0.00013310820349363126
165,538,9.277526256605027e-05
166,564,9.86513808101817e-05
167,566,9.288890510597562e-05
168,579,0.0003785419341156827
169,589,0.00021718794441745478
170,609,0.0002632569077904933
171,613,0.00020573406349929806
172,616,9.587823450585157e-05
173,617,6.442362192162726e-05
174,619,8.152852778324885e-05
175,643,0.00015477330122582779
176,656,0.00040688617217707963
177,665,0.0016523142774243047
178,668,7.386102420964841e-05
179,691,0.00012022559762145751
180,694,9.742995121396451e-05
181,700,7.416443354652284e-05
182,704,0.00024589886747964046
183,717,7.852939179717899e-05
184,730,0.0001912794618034088
185,733,0.0002542364005261665
186,741,0.00019480863303386378
187,761,0.00037415036637665895
188,765,0.0004925293030406182
189,779,7.843794865035676e-05
190,789,0.00044818183209151133
191,791,7.64452393416404e-05
192,798,0.00015970874147398382
193,802,0.00017294929212793202
194,813,0.00020718521235985477
195,820,9.734905637469715e-05
196,826,0.00010550045199416125
197,863,0.0005031261013833062
198,871,0.00019399904063356258
199,881,0.00015718266203846532
200,885,8.35657823097262e-05
201,895,0.0002414136048174649
202,897,0.00021430579649993133
203,904,0.00031549048095158984
204,906,0.00021428386171152587
205,907,0.00020143902012685405
206,913,0.00014902981113388124
207,922,0.0011102332549468264
208,932,0.00014675114282338645
209,936,0.00010564745073975374
210,955,0.00011083387963017535
211,960,0.0003132369734427783
212,963,0.0001832417177804597
213,966,0.0003473542192979212
214,971,0.0001594684230015882
215,972,0.0002576317933144449
216,978,0.0006086390750651234
217,979,0.00018656669911038638
218,983,6.745170513835722e-05
219,991,0.00014913007269820962
220,993,0.0012035351707928483
221,995,8.52434142019669e-05
222,1007,0.00010891329069533513
223,1014,0.0002927748895751096
224,1022,0.0002448118022459652
225,1026,0.0011753214112851216
226,1032,0.00018471970275472802
227,1035,0.0004058165271260639
228,1043,0.0001557382746060163
229,1055,9.474087916136447e-05
230,1062,0.0004041269987992577
231,1125,0.00023764696963117613
232,1144,9.500182562764787e-05
233,1152,0.00011696700966124487
234,1156,0.00043176502350049427
235,1160,0.00011446487882341681
236,1167,0.00045793094724974045
237,1168,8.345707453674e-05
238,1218,0.00019574191624658374
239,1220,0.00011575089983039788
240,1221,9.263371899632068e-05
241,1222,0.00019521930727441007
242,1234,0.00027715568246412684
243,1241,0.0002407901504327928
